Montadora,Carro,Ano,Motor,Tipo de Peça,Marca da Peça,Código de Referência,Código Montadora OEM,Alertas Técnicos,Peças Relacionadas
Volkswagen,Gol G5 / G6 / Voyage / Saveiro,2008-2016,1.0 / 1.6 8V TotalFlex,Pastilha de Freio Dianteira,Cobreq,N-250,5U0 698 151 / 1S0 698 151,Sistema Teves sem mola externa. Versões aro 14 com disco solido 239mm. Versão 1.6 aro 15 usa Cobreq N-285.,Disco Fremax BD 4660 / Fluido Bosch DOT 4 / Kit Pinos Guia
Volkswagen,Gol G5 / G6 / Voyage / Saveiro,2008-2016,1.0 / 1.6 8V TotalFlex,Pastilha de Freio Dianteira,Fras-le,PD/58,5U0 698 151 / 1S0 698 151,Sistema Teves. Verificar espessura mínima do disco.,Disco Fremax BD 4660 / Fluido Bosch DOT 4
Volkswagen,Gol G5 / G6 / Voyage / Saveiro,2008-2016,1.0 / 1.6 8V TotalFlex,Pastilha de Freio Dianteira,Nakata,NKF 1089P,5U0 698 151 / 1S0 698 151,Plaqueta antirruído inclusa. Frenagem macia de balcão.,Disco Nakata NKF 6046 / Fluido Freio
Volkswagen,Gol G5 / G6 / Voyage / Saveiro,2008-2016,1.0 / 1.6 8V TotalFlex,Amortecedor Dianteiro,Cofap,GP32985,5U0 413 031 A,Turbogás pressurizado. Substituir sempre em pares dianteiros.,Kit Batente Cofap KSC01104S / Mola Helicoidal
Volkswagen,Gol G5 / G6 / Voyage / Saveiro,2008-2016,1.0 / 1.6 8V TotalFlex,Amortecedor Dianteiro,Monroe,SP028,5U0 413 031 A,Linha Monroe OESpectrum. Não bater pistão com marreta.,Kit Batente Monroe / Rolamento do Coxim
Volkswagen,Gol G5 / G6 / Voyage / Saveiro,2008-2016,1.0 / 1.6 8V TotalFlex,Amortecedor Dianteiro,Nakata,HG 33010,5U0 413 031 A,Pressurizado a gás de alta durabilidade.,Kit Batente e Coifa Nakata SK301S / Coxim com Rolamento
Volkswagen,Gol G5 / G6 / Voyage / Saveiro,2008-2016,1.0 / 1.6 8V TotalFlex,Amortecedor Traseiro,Cofap,GB27310,5U0 513 025,Turbogás traseiro. Fixação olhal inferior e espiga superior.,Kit Amortecedor Traseiro Cofap KSC01201S
Volkswagen,Gol G5 / G6 / Voyage / Saveiro,2008-2016,1.0 / 1.6 8V TotalFlex,Amortecedor Traseiro,Nakata,HG 31086,5U0 513 025,Amortecedor traseiro pressurizado.,Kit Coifa e Batente Traseiro Nakata
Volkswagen,Gol G5 / G6 / Voyage / Saveiro,2008-2016,1.0 8V EA111 VHT,Kit de Embreagem,LuK,619 3015 00,030 141 025 K,Diâmetro 190mm e 28 estrias. Não acompanha cabo de embreagem mecânico.,Cabo de Embreagem Fania 34-215 / Garfo de Embreagem
Volkswagen,Gol G5 / G6 / Voyage / Saveiro,2008-2016,1.0 8V EA111 VHT,Kit de Embreagem,Sachs,6598,030 141 025 K,Platô e disco 190mm + rolamento guia de desengate.,Retentor do Volante Sabó 05244 / Óleo Câmbio 75W80
Volkswagen,Gol G5 / G6 / Voyage / Saveiro,2008-2016,1.0 8V EA111 VHT,Kit de Embreagem,Valeo,228189,030 141 025 K,Linha Valeo Premium 190mm 28 estrias.,Guia de Rolamento / Retentor Traseiro
Volkswagen,Gol G5 / G6 / Voyage / Saveiro,2008-2016,1.6 8V EA111 VHT,Kit de Embreagem,LuK,620 3127 00,032 141 025,Diâmetro 200mm e 28 estrias. Exclusivo motor 1.6.,Retentor Traseiro Sabó 05244 / Rolamento Guia
Volkswagen,Gol G5 / G6 / Voyage / Saveiro,2008-2016,1.0 / 1.6 8V EA111,Correia Dentada,Gates,5559XS,030 109 119 AB,Correia sincronizadora 135 dentes com perfil HNBR de alta temperatura.,Tensor de Correia Gates T43141 / Bomba d'água Urba UB0165
Volkswagen,Gol G5 / G6 / Voyage / Saveiro,2008-2016,1.0 / 1.6 8V EA111,Correia Dentada,Contitech,CT453,030 109 119 AB,Substituir aos 60.000 km ou 4 anos junto com o esticador.,Tensor Rolltens RT6050 / Aditivo Radiador Tirreno
Volkswagen,Gol G5 / G6 / Voyage / Saveiro,2008-2016,1.0 / 1.6 8V EA111,Bomba d'Água,Urba,UB0165,030 121 008 D,Rotor metálico de alta vazão. Limpar e sangrar arrefecimento.,Válvula Termostática Wahler / Carcaça Valclei
Volkswagen,Gol G5 / G6 / Voyage / Saveiro,2008-2016,1.0 / 1.6 8V EA111,Bomba d'Água,Schadek,20.149,030 121 008 D,Acompanha anel de vedação de borracha nitrílica.,Aditivo Orgânico Rosa Concentrado
